state_name,district_name,disability_type,age_lower,age_upper,Male_count,female_count,total
Bihar,Supaul,Acid Attack Victim,6,15,1,0,1
Bihar,Supaul,Acid Attack Victim,35,60,1,1,2
Odisha,Sundargarh,Acid Attack Victim,6,15,1,4,5
Odisha,Sundargarh,Acid Attack Victim,15,35,1,4,5
Odisha,Sundargarh,Acid Attack Victim,35,60,9,7,16
Odisha,Sundargarh,Acid Attack Victim,60,80,1,0,1
Uttar Pradesh,Sultanpur,Acid Attack Victim,15,35,7,1,8
Uttar Pradesh,Sultanpur,Acid Attack Victim,35,60,14,3,17
Uttar Pradesh,Sultanpur,Acid Attack Victim,60,80,6,0,6
Andhra Pradesh,Srikakulam,Acid Attack Victim,15,35,2,0,2
Andhra Pradesh,Srikakulam,Acid Attack Victim,35,60,1,0,1
Punjab,Sri Muktsar Sahib,Acid Attack Victim,6,15,0,1,1
Punjab,Sri Muktsar Sahib,Acid Attack Victim,35,60,4,0,4
Punjab,Sri Muktsar Sahib,Acid Attack Victim,60,80,1,0,1
Andhra Pradesh,Spsr Nellore,Acid Attack Victim,15,35,2,0,2
Andaman And Nicobar Islands,South Andamans,Acid Attack Victim,15,35,1,0,1
Andaman And Nicobar Islands,South Andamans,Acid Attack Victim,35,60,1,1,2
Andaman And Nicobar Islands,South Andamans,Acid Attack Victim,60,80,2,0,2
Haryana,Sonipat,Acid Attack Victim,15,35,1,0,1
Haryana,Sonipat,Acid Attack Victim,35,60,1,1,2
Odisha,Sonepur,Acid Attack Victim,35,60,1,0,1
Odisha,Sonepur,Acid Attack Victim,60,80,1,0,1
Uttar Pradesh,Sonbhadra,Acid Attack Victim,15,35,7,2,9
Uttar Pradesh,Sonbhadra,Acid Attack Victim,35,60,5,0,5
Maharashtra,Solapur,Acid Attack Victim,15,35,1,0,1
Himachal Pradesh,Solan,Acid Attack Victim,35,60,1,0,1
Bihar,Siwan,Acid Attack Victim,6,15,0,1,1
Bihar,Siwan,Acid Attack Victim,15,35,3,2,5
Bihar,Siwan,Acid Attack Victim,35,60,1,1,2
Bihar,Siwan,Acid Attack Victim,60,80,2,0,2
Tamil Nadu,Sivaganga,Acid Attack Victim,0,6,1,0,1
Tamil Nadu,Sivaganga,Acid Attack Victim,60,80,1,0,1
Uttar Pradesh,Sitapur,Acid Attack Victim,15,35,2,1,3
Uttar Pradesh,Sitapur,Acid Attack Victim,35,60,6,0,6
Bihar,Sitamarhi,Acid Attack Victim,15,35,2,1,3
Bihar,Sitamarhi,Acid Attack Victim,35,60,0,2,2
Haryana,Sirsa,Acid Attack Victim,35,60,0,1,1
Rajasthan,Sirohi,Acid Attack Victim,6,15,1,0,1
Rajasthan,Sirohi,Acid Attack Victim,15,35,1,0,1
Rajasthan,Sirohi,Acid Attack Victim,35,60,1,0,1
Himachal Pradesh,Sirmaur,Acid Attack Victim,35,60,2,0,2
Madhya Pradesh,Singrauli,Acid Attack Victim,15,35,0,1,1
Madhya Pradesh,Singrauli,Acid Attack Victim,35,60,1,0,1
Madhya Pradesh,Sidhi,Acid Attack Victim,6,15,1,0,1
Madhya Pradesh,Sidhi,Acid Attack Victim,15,35,8,1,9
Madhya Pradesh,Sidhi,Acid Attack Victim,35,60,9,1,10
Madhya Pradesh,Sidhi,Acid Attack Victim,60,80,1,0,1
Uttar Pradesh,Siddharth Nagar,Acid Attack Victim,6,15,2,0,2
Uttar Pradesh,Siddharth Nagar,Acid Attack Victim,15,35,5,4,9
Uttar Pradesh,Siddharth Nagar,Acid Attack Victim,35,60,15,4,19
Uttar Pradesh,Siddharth Nagar,Acid Attack Victim,60,80,3,2,5
Uttar Pradesh,Siddharth Nagar,Acid Attack Victim,80,100,1,0,1
Uttar Pradesh,Shravasti,Acid Attack Victim,6,15,1,0,1
Uttar Pradesh,Shravasti,Acid Attack Victim,15,35,1,2,3
Uttar Pradesh,Shravasti,Acid Attack Victim,35,60,4,1,5
Uttar Pradesh,Shravasti,Acid Attack Victim,60,80,2,0,2
Jammu And Kashmir,Shopian,Acid Attack Victim,15,35,1,0,1
Madhya Pradesh,Shivpuri,Acid Attack Victim,6,15,0,1,1
Madhya Pradesh,Shivpuri,Acid Attack Victim,15,35,2,1,3
Madhya Pradesh,Shivpuri,Acid Attack Victim,35,60,3,1,4
Karnataka,Shivamogga,Acid Attack Victim,35,60,3,4,7
Himachal Pradesh,Shimla,Acid Attack Victim,35,60,0,1,1
Bihar,Sheohar,Acid Attack Victim,6,15,0,5,5
Bihar,Sheohar,Acid Attack Victim,15,35,1,0,1
Bihar,Sheohar,Acid Attack Victim,35,60,1,0,1
Uttar Pradesh,Shamli,Acid Attack Victim,15,35,2,0,2
Uttar Pradesh,Shamli,Acid Attack Victim,35,60,3,1,4
Uttar Pradesh,Shahjahanpur,Acid Attack Victim,0,6,2,0,2
Uttar Pradesh,Shahjahanpur,Acid Attack Victim,6,15,6,5,11
Uttar Pradesh,Shahjahanpur,Acid Attack Victim,15,35,30,10,40
Uttar Pradesh,Shahjahanpur,Acid Attack Victim,35,60,31,13,44
Uttar Pradesh,Shahjahanpur,Acid Attack Victim,60,80,14,4,18
Punjab,Shahid Bhagat Singh Nagar,Acid Attack Victim,15,35,1,1,2
Madhya Pradesh,Shahdol,Acid Attack Victim,0,6,1,0,1
Madhya Pradesh,Shahdol,Acid Attack Victim,6,15,2,0,2
Madhya Pradesh,Shahdol,Acid Attack Victim,15,35,3,0,3
Madhya Pradesh,Shahdol,Acid Attack Victim,35,60,4,0,4
Madhya Pradesh,Shahdol,Acid Attack Victim,60,80,0,1,1
Delhi,Shahdara,Acid Attack Victim,35,60,1,0,1
Madhya Pradesh,Seoni,Acid Attack Victim,6,15,1,0,1
Madhya Pradesh,Seoni,Acid Attack Victim,15,35,2,2,4
Madhya Pradesh,Seoni,Acid Attack Victim,35,60,0,1,1
Manipur,Senapati,Acid Attack Victim,15,35,0,1,1
Maharashtra,Satara,Acid Attack Victim,6,15,0,1,1
Maharashtra,Satara,Acid Attack Victim,15,35,1,3,4
Maharashtra,Satara,Acid Attack Victim,35,60,3,0,3
Bihar,Saran,Acid Attack Victim,15,35,4,1,5
Bihar,Saran,Acid Attack Victim,35,60,2,1,3
Jharkhand,Saraikela Kharsawan,Acid Attack Victim,35,60,1,0,1
Uttar Pradesh,Sant Kabeer Nagar,Acid Attack Victim,35,60,1,0,1
Punjab,Sangrur,Acid Attack Victim,15,35,2,2,4
Punjab,Sangrur,Acid Attack Victim,35,60,1,1,2
Punjab,Sangrur,Acid Attack Victim,80,100,1,0,1
Maharashtra,Sangli,Acid Attack Victim,15,35,1,0,1
Maharashtra,Sangli,Acid Attack Victim,35,60,1,0,1
Odisha,Sambalpur,Acid Attack Victim,15,35,0,1,1
Odisha,Sambalpur,Acid Attack Victim,35,60,0,2,2
Bihar,Samastipur,Acid Attack Victim,6,15,1,0,1
Bihar,Samastipur,Acid Attack Victim,15,35,7,3,10
Bihar,Samastipur,Acid Attack Victim,35,60,9,4,13
Bihar,Samastipur,Acid Attack Victim,60,80,2,1,3
Tamil Nadu,Salem,Acid Attack Victim,6,15,1,0,1
Tamil Nadu,Salem,Acid Attack Victim,15,35,1,3,4
Tamil Nadu,Salem,Acid Attack Victim,35,60,0,1,1
Jharkhand,Sahebganj,Acid Attack Victim,35,60,0,1,1
Bihar,Saharsa,Acid Attack Victim,6,15,0,2,2
Bihar,Saharsa,Acid Attack Victim,15,35,1,0,1
Bihar,Saharsa,Acid Attack Victim,35,60,1,0,1
Uttar Pradesh,Saharanpur,Acid Attack Victim,15,35,5,6,11
Uttar Pradesh,Saharanpur,Acid Attack Victim,35,60,10,4,14
Uttar Pradesh,Saharanpur,Acid Attack Victim,60,80,1,0,1
Uttar Pradesh,Saharanpur,Acid Attack Victim,80,100,2,0,2
Madhya Pradesh,Sagar,Acid Attack Victim,15,35,1,1,2
Madhya Pradesh,Sagar,Acid Attack Victim,35,60,4,1,5
Madhya Pradesh,Sagar,Acid Attack Victim,60,80,0,2,2
Punjab,S.A.S Nagar,Acid Attack Victim,6,15,2,1,3
Punjab,S.A.S Nagar,Acid Attack Victim,35,60,3,0,3
Punjab,S.A.S Nagar,Acid Attack Victim,60,80,1,0,1
Punjab,Rupnagar,Acid Attack Victim,6,15,0,1,1
Punjab,Rupnagar,Acid Attack Victim,15,35,1,0,1
Punjab,Rupnagar,Acid Attack Victim,35,60,3,2,5
Punjab,Rupnagar,Acid Attack Victim,60,80,1,0,1
Punjab,Rupnagar,Acid Attack Victim,80,100,1,0,1
Uttarakhand,Rudra Prayag,Acid Attack Victim,35,60,1,0,1
Bihar,Rohtas,Acid Attack Victim,6,15,2,0,2
Bihar,Rohtas,Acid Attack Victim,15,35,6,3,9
Bihar,Rohtas,Acid Attack Victim,35,60,3,0,3
Haryana,Rohtak,Acid Attack Victim,15,35,0,3,3
Haryana,Rewari,Acid Attack Victim,15,35,1,0,1
Haryana,Rewari,Acid Attack Victim,35,60,0,2,2
Haryana,Rewari,Acid Attack Victim,60,80,1,0,1
Madhya Pradesh,Rewa,Acid Attack Victim,15,35,0,1,1
Madhya Pradesh,Rewa,Acid Attack Victim,35,60,1,0,1
Odisha,Rayagada,Acid Attack Victim,15,35,4,2,6
Odisha,Rayagada,Acid Attack Victim,35,60,2,0,2
Maharashtra,Ratnagiri,Acid Attack Victim,60,80,2,0,2
Tamil Nadu,Ranipet,Acid Attack Victim,15,35,1,3,4
Tamil Nadu,Ranipet,Acid Attack Victim,35,60,2,1,3
Tamil Nadu,Ranipet,Acid Attack Victim,60,80,2,1,3
Jharkhand,Ranchi,Acid Attack Victim,15,35,1,0,1
Jharkhand,Ranchi,Acid Attack Victim,35,60,2,0,2
Uttar Pradesh,Rampur,Acid Attack Victim,15,35,4,1,5
Uttar Pradesh,Rampur,Acid Attack Victim,35,60,7,2,9
Uttar Pradesh,Rampur,Acid Attack Victim,60,80,1,0,1
Jharkhand,Ramgarh,Acid Attack Victim,0,6,0,1,1
Jharkhand,Ramgarh,Acid Attack Victim,6,15,8,1,9
Jharkhand,Ramgarh,Acid Attack Victim,15,35,31,19,50
Jharkhand,Ramgarh,Acid Attack Victim,35,60,34,21,55
Jharkhand,Ramgarh,Acid Attack Victim,60,80,7,5,12
Jammu And Kashmir,Ramban,Acid Attack Victim,35,60,1,0,1
Tamil Nadu,Ramanathapuram,Acid Attack Victim,35,60,1,0,1
Tamil Nadu,Ramanathapuram,Acid Attack Victim,60,80,1,1,2
Karnataka,Ramanagara,Acid Attack Victim,15,35,1,1,2
Karnataka,Ramanagara,Acid Attack Victim,35,60,3,4,7
Karnataka,Ramanagara,Acid Attack Victim,60,80,1,1,2
Rajasthan,Rajsamand,Acid Attack Victim,15,35,0,2,2
Rajasthan,Rajsamand,Acid Attack Victim,35,60,4,0,4
Jammu And Kashmir,Rajouri,Acid Attack Victim,15,35,0,2,2
Jammu And Kashmir,Rajouri,Acid Attack Victim,35,60,0,1,1
Chhattisgarh,Rajnandgaon,Acid Attack Victim,15,35,2,1,3
Chhattisgarh,Rajnandgaon,Acid Attack Victim,35,60,2,0,2
Madhya Pradesh,Rajgarh,Acid Attack Victim,15,35,3,0,3
Madhya Pradesh,Rajgarh,Acid Attack Victim,35,60,6,1,7
Madhya Pradesh,Rajgarh,Acid Attack Victim,60,80,1,2,3
Madhya Pradesh,Raisen,Acid Attack Victim,15,35,2,3,5
Madhya Pradesh,Raisen,Acid Attack Victim,35,60,5,1,6
Madhya Pradesh,Raisen,Acid Attack Victim,60,80,1,0,1
Chhattisgarh,Raipur,Acid Attack Victim,15,35,0,1,1
Chhattisgarh,Raipur,Acid Attack Victim,35,60,2,0,2
Chhattisgarh,Raigarh,Acid Attack Victim,6,15,0,1,1
Maharashtra,Raigad,Acid Attack Victim,35,60,1,0,1
Karnataka,Raichur,Acid Attack Victim,35,60,1,0,1
Uttar Pradesh,Rae Bareli,Acid Attack Victim,15,35,1,0,1
Uttar Pradesh,Rae Bareli,Acid Attack Victim,35,60,0,2,2
Bihar,Purnia,Acid Attack Victim,35,60,2,0,2
Bihar,Purnia,Acid Attack Victim,60,80,1,0,1
Odisha,Puri,Acid Attack Victim,6,15,0,1,1
Odisha,Puri,Acid Attack Victim,15,35,4,2,6
Odisha,Puri,Acid Attack Victim,35,60,5,1,6
Bihar,Purbi Champaran,Acid Attack Victim,6,15,0,1,1
Bihar,Purbi Champaran,Acid Attack Victim,15,35,4,3,7
Bihar,Purbi Champaran,Acid Attack Victim,35,60,6,0,6
Bihar,Purbi Champaran,Acid Attack Victim,60,80,2,0,2
Maharashtra,Pune,Acid Attack Victim,15,35,1,1,2
Maharashtra,Pune,Acid Attack Victim,35,60,4,0,4
Jammu And Kashmir,Pulwama,Acid Attack Victim,6,15,3,2,5
Jammu And Kashmir,Pulwama,Acid Attack Victim,15,35,1,11,12
Jammu And Kashmir,Pulwama,Acid Attack Victim,35,60,5,14,19
Jammu And Kashmir,Pulwama,Acid Attack Victim,60,80,2,0,2
Tamil Nadu,Pudukkottai,Acid Attack Victim,15,35,0,1,1
Tamil Nadu,Pudukkottai,Acid Attack Victim,35,60,0,2,2
Uttar Pradesh,Prayagraj,Acid Attack Victim,15,35,2,1,3
Uttar Pradesh,Prayagraj,Acid Attack Victim,35,60,3,2,5
Uttar Pradesh,Prayagraj,Acid Attack Victim,60,80,3,0,3
Rajasthan,Pratapgarh,Acid Attack Victim,15,35,0,3,3
Rajasthan,Pratapgarh,Acid Attack Victim,35,60,3,1,4
Uttar Pradesh,Pratapgarh,Acid Attack Victim,15,35,12,2,14
Uttar Pradesh,Pratapgarh,Acid Attack Victim,35,60,10,5,15
Uttar Pradesh,Pratapgarh,Acid Attack Victim,60,80,3,0,3
Andhra Pradesh,Prakasam,Acid Attack Victim,15,35,2,0,2
Andhra Pradesh,Prakasam,Acid Attack Victim,60,80,1,0,1
Jammu And Kashmir,Poonch,Acid Attack Victim,0,6,1,1,2
Jammu And Kashmir,Poonch,Acid Attack Victim,6,15,7,4,11
Jammu And Kashmir,Poonch,Acid Attack Victim,15,35,25,15,40
Jammu And Kashmir,Poonch,Acid Attack Victim,35,60,34,19,53
Jammu And Kashmir,Poonch,Acid Attack Victim,60,80,5,2,7
Jammu And Kashmir,Poonch,Acid Attack Victim,80,100,2,0,2
Puducherry,Pondicherry,Acid Attack Victim,15,35,0,3,3
Puducherry,Pondicherry,Acid Attack Victim,35,60,0,2,2
Uttar Pradesh,Pilibhit,Acid Attack Victim,6,15,0,1,1
Uttar Pradesh,Pilibhit,Acid Attack Victim,15,35,12,1,13
Uttar Pradesh,Pilibhit,Acid Attack Victim,35,60,8,6,14
Uttar Pradesh,Pilibhit,Acid Attack Victim,60,80,3,0,3
Uttar Pradesh,Pilibhit,Acid Attack Victim,80,100,1,0,1
Uttarakhand,Pauri Garhwal,Acid Attack Victim,15,35,1,0,1
Bihar,Patna,Acid Attack Victim,0,6,1,0,1
Bihar,Patna,Acid Attack Victim,6,15,1,0,1
Bihar,Patna,Acid Attack Victim,15,35,8,6,14
Bihar,Patna,Acid Attack Victim,35,60,4,3,7
Punjab,Patiala,Acid Attack Victim,15,35,1,6,7
Punjab,Patiala,Acid Attack Victim,35,60,8,3,11
Punjab,Patiala,Acid Attack Victim,80,100,1,1,2
Punjab,Pathankot,Acid Attack Victim,15,35,0,1,1
Punjab,Pathankot,Acid Attack Victim,35,60,3,0,3
Punjab,Pathankot,Acid Attack Victim,60,80,2,0,2
Kerala,Pathanamthitta,Acid Attack Victim,35,60,0,1,1
Kerala,Pathanamthitta,Acid Attack Victim,60,80,1,1,2
Bihar,Pashchim Champaran,Acid Attack Victim,15,35,0,3,3
Bihar,Pashchim Champaran,Acid Attack Victim,35,60,3,1,4
Bihar,Pashchim Champaran,Acid Attack Victim,60,80,2,0,2
Maharashtra,Parbhani,Acid Attack Victim,15,35,4,1,5
Maharashtra,Parbhani,Acid Attack Victim,35,60,7,2,9
Maharashtra,Parbhani,Acid Attack Victim,60,80,3,1,4
Madhya Pradesh,Panna,Acid Attack Victim,15,35,3,0,3
Madhya Pradesh,Panna,Acid Attack Victim,35,60,5,1,6
Haryana,Panipat,Acid Attack Victim,15,35,0,1,1
Haryana,Panipat,Acid Attack Victim,35,60,1,0,1
Haryana,Panchkula,Acid Attack Victim,35,60,0,1,1
Haryana,Palwal,Acid Attack Victim,15,35,1,0,1
Rajasthan,Pali,Acid Attack Victim,15,35,1,0,1
Maharashtra,Palghar,Acid Attack Victim,35,60,1,0,1
Jharkhand,Palamu,Acid Attack Victim,35,60,2,0,2
Kerala,Palakkad,Acid Attack Victim,35,60,2,0,2
Jharkhand,Pakur,Acid Attack Victim,15,35,2,0,2
Maharashtra,Osmanabad,Acid Attack Victim,6,15,0,3,3
Maharashtra,Osmanabad,Acid Attack Victim,15,35,11,7,18
Maharashtra,Osmanabad,Acid Attack Victim,35,60,15,15,30
Maharashtra,Osmanabad,Acid Attack Victim,60,80,5,3,8
Haryana,Nuh,Acid Attack Victim,15,35,1,0,1
Haryana,Nuh,Acid Attack Victim,35,60,1,0,1
Odisha,Nuapada,Acid Attack Victim,35,60,3,0,3
Delhi,North West,Acid Attack Victim,35,60,3,0,3
Goa,North Goa,Acid Attack Victim,15,35,1,0,1
Andaman And Nicobar Islands,North And Middle Andaman,Acid Attack Victim,35,60,1,0,1
Delhi,North,Acid Attack Victim,6,15,1,0,1
Madhya Pradesh,Niwari,Acid Attack Victim,15,35,1,1,2
Madhya Pradesh,Niwari,Acid Attack Victim,60,80,0,1,1
Andaman And Nicobar Islands,Nicobars,Acid Attack Victim,35,60,0,1,1
Madhya Pradesh,Neemuch,Acid Attack Victim,6,15,0,1,1
Madhya Pradesh,Neemuch,Acid Attack Victim,15,35,1,0,1
Odisha,Nayagarh,Acid Attack Victim,6,15,1,1,2
Odisha,Nayagarh,Acid Attack Victim,15,35,5,0,5
Odisha,Nayagarh,Acid Attack Victim,35,60,3,3,6
Bihar,Nawada,Acid Attack Victim,6,15,1,0,1
Bihar,Nawada,Acid Attack Victim,15,35,1,1,2
Bihar,Nawada,Acid Attack Victim,35,60,0,1,1
Madhya Pradesh,Narsinghpur,Acid Attack Victim,6,15,1,1,2
Madhya Pradesh,Narsinghpur,Acid Attack Victim,15,35,14,7,21
Madhya Pradesh,Narsinghpur,Acid Attack Victim,35,60,41,8,49
Madhya Pradesh,Narsinghpur,Acid Attack Victim,60,80,21,2,23
Madhya Pradesh,Narsinghpur,Acid Attack Victim,80,100,1,0,1
Madhya Pradesh,Narmadapuram,Acid Attack Victim,15,35,4,1,5
Madhya Pradesh,Narmadapuram,Acid Attack Victim,35,60,1,1,2
Maharashtra,Nandurbar,Acid Attack Victim,60,80,1,0,1
Maharashtra,Nanded,Acid Attack Victim,15,35,1,0,1
Maharashtra,Nanded,Acid Attack Victim,35,60,3,0,3
Tamil Nadu,Namakkal,Acid Attack Victim,60,80,1,0,1
Assam,Nalbari,Acid Attack Victim,15,35,1,2,3
Assam,Nalbari,Acid Attack Victim,35,60,2,2,4
Bihar,Nalanda,Acid Attack Victim,6,15,3,2,5
Bihar,Nalanda,Acid Attack Victim,15,35,0,2,2
Bihar,Nalanda,Acid Attack Victim,35,60,1,1,2
Bihar,Nalanda,Acid Attack Victim,60,80,1,0,1
Uttarakhand,Nainital,Acid Attack Victim,35,60,2,0,2
Maharashtra,Nagpur,Acid Attack Victim,15,35,1,0,1
Rajasthan,Nagaur,Acid Attack Victim,15,35,0,1,1
Rajasthan,Nagaur,Acid Attack Victim,60,80,1,0,1
Tamil Nadu,Nagapattinam,Acid Attack Victim,15,35,1,1,2
Tamil Nadu,Nagapattinam,Acid Attack Victim,35,60,2,0,2
Assam,Nagaon,Acid Attack Victim,0,6,1,0,1
Assam,Nagaon,Acid Attack Victim,15,35,2,0,2
Assam,Nagaon,Acid Attack Victim,35,60,1,2,3
Odisha,Nabarangpur,Acid Attack Victim,15,35,0,2,2
Karnataka,Mysuru,Acid Attack Victim,15,35,2,1,3
Karnataka,Mysuru,Acid Attack Victim,35,60,1,3,4
Karnataka,Mysuru,Acid Attack Victim,60,80,3,0,3
Bihar,Muzaffarpur,Acid Attack Victim,6,15,0,1,1
Bihar,Muzaffarpur,Acid Attack Victim,15,35,2,1,3
Bihar,Muzaffarpur,Acid Attack Victim,35,60,0,2,2
Uttar Pradesh,Muzaffarnagar,Acid Attack Victim,15,35,5,1,6
Uttar Pradesh,Muzaffarnagar,Acid Attack Victim,35,60,5,2,7
Uttar Pradesh,Muzaffarnagar,Acid Attack Victim,60,80,6,0,6
Bihar,Munger,Acid Attack Victim,35,60,0,1,1
Chhattisgarh,Mungeli,Acid Attack Victim,35,60,2,0,2
Chhattisgarh,Mungeli,Acid Attack Victim,80,100,0,1,1
Maharashtra,Mumbai,Acid Attack Victim,35,60,0,1,1
Madhya Pradesh,Morena,Acid Attack Victim,35,60,1,0,1
Madhya Pradesh,Morena,Acid Attack Victim,60,80,0,1,1
Uttar Pradesh,Moradabad,Acid Attack Victim,15,35,0,1,1
