,0
503,2
504,8
505,7
506,2
507,3
508,9
509,4
510,5
511,4
512,7
513,4
514,9
515,7
516,7
517,6
518,3
519,7
520,7
521,0
522,5
523,7
524,8
525,2
526,9
527,2
528,7
529,6
530,1
531,1
532,9
533,7
534,3
535,7
536,7
537,0
538,2
539,7
540,9
541,8
542,5
543,8
544,3
545,2
546,9
547,3
548,7
549,2
550,7
551,0
552,3
553,3
554,4
555,5
556,7
557,2
558,5
559,7
560,7
561,9
562,4
563,0
564,6
565,7
566,7
567,6
568,3
569,3
570,9
571,0
572,9
573,1
574,5
575,5
576,0
577,2
578,0
579,4
580,3
581,2
582,8
583,8
584,4
585,6
586,8
587,0
588,6
589,4
590,8
591,4
592,4
593,5
594,7
595,4
596,7
597,5
598,9
599,2
600,0
601,7
602,8
603,3
604,0
605,4
606,8
607,2
608,7
609,5
610,0
611,7
612,4
613,3
614,3
615,0
616,3
617,4
618,0
619,5
620,9
621,6
622,5
623,3
624,3
625,5
626,0
627,8
628,6
629,3
630,0
631,3
632,9
633,2
634,4
635,7
636,0
637,7
638,8
639,2
640,2
641,2
642,8
643,5
644,2
645,5
646,3
647,5
648,5
649,0
650,2
651,7
652,8
653,0
654,5
655,9
656,2
657,5
658,3
659,2
660,2
661,2
662,5
663,0
664,9
665,4
666,9
667,4
668,0
669,7
670,4
671,3
672,6
673,2
674,3
675,5
676,9
677,9
678,5
679,8
680,9
681,8
682,4
683,5
684,9
685,8
686,4
687,7
688,8
689,0
690,7
691,8
692,2
693,6
694,3
695,3
696,9
697,3
698,4
699,3
700,2
701,0
702,9
703,5
704,1
705,2
706,9
707,5
708,4
709,9
710,0
711,6
712,1
713,5
714,1
715,3
716,7
717,4
718,0
719,9
720,7
721,7
722,9
723,7
724,4
725,3
726,4
727,1
728,2
729,1
730,5
731,5
732,9
733,7
734,9
735,7
736,5
737,0
738,4
739,6
740,6
741,7
742,7
743,9
744,4
745,5
746,9
747,7
748,2
749,4
750,8
751,7
752,2
753,9
754,7
755,3
756,7
757,8
758,8
759,8
760,7
761,7
762,3
763,5
764,3
765,8
766,5
767,9
768,4
769,1
770,0
771,7
772,4
773,3
774,3
775,1
776,7
777,5
778,7
779,6
780,9
781,2
782,8
783,9
784,0
785,8
786,7
787,5
788,0
789,4
790,5
791,8
792,9
793,4
794,7
795,5
796,9
797,5
798,2
799,3
800,9
801,9
802,2
803,9
804,5
805,5
806,8
807,1
808,9
809,7
810,5
811,2
812,2
813,5
814,5
815,3
816,3
817,6
818,3
819,0
820,8
821,5
822,9
823,1
824,7
825,8
826,7
827,4
828,0
829,2
830,0
831,2
832,5
833,6
834,9
835,8
836,8
837,0
838,0
839,5
840,9
841,2
842,0
843,5
844,0
845,8
846,5
847,6
848,9
849,0
850,2
851,5
852,5
853,4
854,8
855,2
856,1
857,9
858,7
859,6
860,2
861,8
862,0
863,0
864,5
865,1
866,9
867,0
868,3
869,4
870,8
871,9
872,5
873,8
874,0
875,9
876,7
877,9
878,5
879,5
880,4
881,8
882,2
883,1
884,8
885,0
886,8
887,8
888,1
889,9
890,8
891,7
892,9
893,6
894,2
895,9
896,9
897,9
898,5
899,6
900,4
901,9
902,1
903,9
904,8
905,3
906,8
907,2
908,2
909,5
910,3
911,8
912,2
913,4
914,0
915,9
916,4
917,7
918,6
919,8
920,7
921,3
922,9
923,2
924,0
925,8
926,0
927,5
928,4
929,1
930,4
931,5
932,2
933,5
934,5
935,2
936,8
937,0
938,3
939,4
940,3
941,2
942,5
943,8
944,7
945,4
946,8
947,3
948,3
949,2
950,1
951,2
952,3
953,7
954,5
955,3
956,4
957,0
958,8
959,4
960,3
961,9
962,5
963,0
964,9
965,5
966,1
967,7
968,2
969,8
970,4
971,2
972,9
973,5
974,9
975,0
976,3
977,9
978,2
979,8
980,7
981,0
982,9
983,6
984,2
985,0
986,3
987,9
988,7
989,7
990,3
991,9
992,2
993,9
994,5
995,4
996,1
997,4
998,9
999,1
1000,8
1001,4
1002,1
1003,7
1004,9
1005,9
1006,0
1007,1
1008,7
1009,5
1010,0
1011,0
1012,5
1013,2
1014,7
1015,6
1016,8
1017,7
1018,7
1019,5
1020,3
1021,7
1022,5
1023,6
1024,0
1025,8
1026,4
1027,7
1028,7
1029,2
1030,8
1031,7
1032,9
1033,1
1034,7
1035,8
1036,4
1037,0
1038,0
1039,8
1040,4
1041,0
1042,3
1043,3
1044,0
1045,8
1046,0
1047,4
1048,5
1049,4
1050,4
1051,4
1052,0
1053,5
1054,3
1055,4
1056,4
1057,0
1058,4
1059,7
1060,5
1061,8
1062,9
1063,0
1064,8
1065,0
1066,3
1067,3
1068,5
1069,0
1070,4
1071,9
1072,6
1073,8
1074,4
1075,7
1076,2
1077,2
1078,4
1079,9
1080,9
1081,5
1082,3
1083,6
1084,8
1085,3
1086,7
1087,8
1088,2
1089,8
1090,9
1091,4
1092,9
1093,0
1094,6
1095,8
1096,2
1097,8
1098,3
1099,0
1100,2
1101,4
1102,4
1103,0
1104,7
1105,3
1106,8
1107,8
1108,1
1109,2
1110,2
1111,7
1112,6
1113,9
1114,2
1115,0
1116,9
1117,5
1118,3
1119,0
1120,5
1121,7
1122,8
1123,4
1124,5
1125,6
1126,0
1127,4
1128,6
1129,2
1130,5
1131,4
1132,8
1133,8
1134,5
1135,5
1136,3
1137,8
1138,5
1139,4
1140,2
1141,5
1142,9
1143,4
1144,9
1145,3
1146,3
1147,5
1148,2
1149,1
1150,2
1151,3
1152,1
1153,5
1154,8
1155,3
1156,3
1157,1
1158,9
1159,4
1160,9
1161,0
1162,0
1163,3
1164,8
1165,7
1166,0
1167,4
1168,4
1169,9
1170,0
1171,0
1172,0
1173,0
1174,9
1175,9
1176,9
1177,0
1178,2
1179,5
1180,3
1181,9
1182,0
1183,0
1184,9
1185,8
1186,9
1187,5
1188,2
1189,3
1190,1
1191,4
1192,8
1193,9
1194,3
1195,1
1196,0
1197,8
1198,0
1199,0
1200,3
1201,7
1202,8
1203,0
1204,1
1205,2
1206,0
1207,8
1208,7
1209,0
1210,5
1211,0
1212,4
1213,2
1214,5
1215,6
1216,2
1217,2
1218,9
1219,2
1220,2
1221,9
1222,5
1223,7
1224,1
1225,6
1226,2
1227,7
1228,7
1229,5
1230,2
1231,3
1232,9
1233,9
1234,5
1235,2
1236,0
1237,5
1238,8
1239,3
1240,3
1241,0
1242,6
1243,7
1244,9
1245,9
1246,8
1247,2
1248,8
1249,4
1250,9
1251,0
1252,0
1253,4
1254,6
1255,8
1256,7
1257,0
1258,7
1259,5
1260,1
1261,4
1262,8
1263,0
1264,4
1265,5
1266,8
1267,0
1268,3
1269,4
1270,9
1271,9
1272,8
1273,1
1274,5
1275,0
1276,2
1277,5
1278,4
1279,1
1280,9
1281,9
1282,8
1283,5
1284,4
1285,9
1286,4
1287,3
1288,4
1289,5
1290,9
1291,0
1292,3
1293,5
1294,6
1295,4
1296,0
1297,7
1298,0
1299,2
1300,0
1301,5
1302,7
1303,8
1304,0
1305,5
1306,8
1307,9
1308,2
1309,9
1310,8
1311,0
1312,2
1313,1
1314,3
1315,9
1316,3
1317,3
1318,7
1319,9
1320,0
1321,3
1322,0
1323,3
1324,7
1325,7
1326,7
1327,2
1328,1
1329,6
1330,1
1331,2
1332,7
1333,5
1334,8
1335,4
1336,4
1337,2
1338,5
1339,3
1340,8
1341,3
1342,9
1343,3
1344,9
1345,0
1346,2
1347,9
1348,7
1349,4
1350,0
1351,0
1352,9
1353,4
1354,1
1355,7
1356,8
1357,9
1358,0
1359,6
1360,0
1361,5
1362,0
1363,5
1364,4
1365,8
1366,7
1367,8
1368,2
1369,4
1370,7
1371,0
1372,1
1373,5
1374,0
1375,7
1376,0
1377,7
1378,0
1379,2
1380,9
1381,2
1382,2
1383,5
1384,0
1385,9
1386,4
1387,3
1388,0
1389,9
1390,8
1391,4
1392,3
1393,0
1394,4
1395,3
1396,1
1397,8
1398,7
1399,8
1400,5
1401,9
1402,8
1403,4
1404,7
1405,3
1406,2
1407,7
1408,4
1409,9
1410,0
1411,1
1412,8
1413,3
1414,0
1415,3
1416,9
1417,8
1418,4
1419,2
1420,8
1421,5
1422,2
1423,5
1424,3
1425,7
1426,3
1427,5
1428,2
1429,8
1430,4
1431,2
1432,6
1433,3
1434,2
1435,0
1436,7
1437,2
1438,3
1439,6
1440,8
1441,1
1442,5
1443,4
1444,9
1445,8
1446,4
1447,1
1448,3
1449,1
1450,7
1451,4
1452,9
1453,3
1454,0
1455,0
1456,6
1457,2
1458,8
1459,8
1460,7
1461,9
1462,3
1463,0
1464,3
1465,6
1466,8
1467,2
1468,9
1469,6
1470,9
1471,2
1472,0
1473,9
1474,0
1475,8
1476,7
1477,8
1478,0
1479,7
1480,4
1481,8
1482,8
1483,1
1484,0
1485,0
1486,7
1487,1
1488,3
1489,3
1490,7
1491,2
1492,7
1493,9
1494,1
1495,8
1496,8
1497,4
1498,4
1499,1
1500,7
1501,5
1502,1
1503,4
1504,1
1505,9
1506,3
1507,1
1508,4
1509,4
1510,2
1511,7
1512,0
1513,7
1514,0
1515,5
1516,5
1517,7
1518,0
1519,1
1520,3
1521,8
1522,0
1523,0
1524,7
1525,4
1526,5
1527,8
1528,2
1529,9
1530,5
1531,5
1532,1
1533,0
1534,4
1535,9
1536,9
1537,8
1538,7
1539,3
1540,0
1541,5
1542,7
1543,6
1544,0
1545,2
1546,1
1547,5
1548,0
1549,3
1550,7
1551,0
1552,4
1553,5
1554,8
1555,3
1556,8
1557,8
1558,3
1559,2
1560,8
1561,6
1562,9
1563,7
1564,3
1565,0
1566,3
1567,0
1568,0
1569,8
1570,2
1571,6
1572,4
1573,4
1574,5
1575,5
1576,0
1577,0
1578,4
1579,9
1580,2
1581,4
1582,4
1583,0
1584,5
1585,4
1586,2
1587,4
1588,4
1589,6
1590,3
1591,5
1592,8
1593,8
1594,5
1595,8
1596,3
1597,0
1598,7
1599,5
1600,5
1601,7
1602,7
1603,0
1604,8
1605,3
1606,4
1607,8
1608,8
1609,5
1610,0
1611,5
1612,9
1613,5
1614,9
1615,5
1616,8
1617,0
1618,7
1619,8
1620,9
1621,1
1622,5
1623,3
1624,7
1625,7
1626,9
1627,5
1628,9
1629,6
1630,8
1631,7
1632,8
1633,1
1634,4
1635,7
1636,4
1637,1
1638,4
1639,2
1640,6
1641,4
1642,2
1643,8
1644,9
1645,5
1646,2
1647,5
1648,9
1649,2
1650,7
1651,0
1652,9
1653,7
1654,9
1655,2
1656,9
1657,0
1658,8
1659,1
1660,6
1661,5
1662,1
1663,9
1664,7
1665,3
1666,3
1667,3
1668,9
1669,8
1670,5
1671,3
1672,2
1673,7
1674,4
1675,4
1676,1
1677,2
1678,9
1679,5
1680,8
1681,6
1682,3
1683,0
1684,8
1685,2
1686,0
1687,7
1688,1
1689,1
1690,4
1691,4
1692,0
1693,5
1694,4
1695,4
1696,0
1697,5
1698,3
1699,5
1700,5
1701,7
1702,9
1703,1
1704,0
1705,1
1706,7
1707,4
1708,7
1709,5
1710,4
1711,5
1712,9
1713,3
1714,8
1715,5
1716,7
1717,8
1718,2
1719,5
1720,8
1721,4
1722,1
1723,9
1724,1
1725,9
1726,4
1727,0
1728,2
1729,1
1730,3
1731,0
1732,4
1733,5
1734,4
1735,7
1736,9
1737,3
1738,8
1739,5
1740,9
1741,0
1742,5
1743,5
1744,1
1745,0
1746,5
1747,9
1748,6
1749,8
1750,7
1751,0
1752,0
1753,2
1754,6
1755,3
1756,4
1757,7
1758,9
1759,4
1760,0
1761,7
1762,7
1763,4
1764,2
1765,8
1766,7
1767,9
1768,8
1769,4
1770,7
1771,4
1772,8
1773,4
1774,8
1775,9
1776,5
1777,5
1778,9
1779,1
1780,1
1781,8
1782,5
1783,5
1784,9
1785,2
1786,5
1787,2
1788,4
1789,5
1790,7
1791,0
1792,7
1793,0
1794,4
1795,8
1796,7
1797,4
1798,7
1799,6
1800,0
1801,4
1802,5
1803,8
1804,7
1805,4
1806,6
1807,6
1808,9
1809,3
1810,0
1811,5
1812,7
1813,3
1814,2
1815,0
1816,2
1817,9
1818,7
1819,8
1820,5
1821,8
1822,3
1823,2
1824,5
1825,2
1826,4
1827,9
1828,0
1829,8
1830,1
1831,8
1832,4
1833,4
1834,8
1835,3
1836,2
1837,8
1838,5
1839,8
1840,5
1841,2
1842,4
1843,9
1844,5
1845,9
1846,3
1847,8
1848,3
1849,3
1850,5
1851,1
1852,2
1853,5
1854,7
1855,8
1856,0
1857,1
1858,0
1859,5
1860,2
1861,0
1862,7
1863,9
1864,6
1865,3
1866,2
1867,3
1868,3
1869,9
1870,3
1871,8
1872,7
1873,9
1874,4
1875,8
1876,5
1877,1
1878,3
1879,3
1880,5
1881,2
1882,7
1883,2
1884,7
1885,8
1886,9
1887,6
1888,3
1889,5
1890,7
1891,4
1892,4
1893,6
1894,6
1895,2
1896,7
1897,7
1898,8
1899,7
1900,8
1901,3
1902,3
1903,0
1904,4
1905,5
1906,0
1907,5
1908,5
1909,8
1910,8
1911,5
1912,5
1913,6
1914,5
1915,5
1916,5
1917,9
1918,2
1919,0
1920,3
1921,0
1922,0
1923,9
1924,8
1925,9
1926,5
1927,8
1928,5
1929,3
1930,3
1931,3
1932,3
1933,4
1934,5
1935,4
1936,3
1937,1
1938,7
1939,3
1940,2
1941,5
1942,9
1943,2
1944,2
1945,2
1946,9
1947,3
1948,9
1949,3
1950,5
1951,4
1952,7
1953,9
1954,4
1955,0
1956,5
1957,5
1958,5
1959,2
1960,3
1961,5
1962,5
1963,4
1964,6
1965,3
1966,9
1967,7
1968,5
1969,9
1970,2
1971,0
1972,5
1973,4
1974,8
1975,1
1976,2
1977,5
1978,1
1979,7
1980,4
1981,3
1982,7
1983,0
1984,8
1985,0
1986,9
1987,9
1988,9
1989,0
1990,3
1991,9
1992,7
1993,9
1994,3
1995,7
1996,3
1997,7
1998,8
1999,5
2000,8
2001,3
2002,5
2003,8
2004,0
2005,6
2006,7
2007,6
2008,0
2009,3
2010,9
2011,7
2012,8
2013,9
2014,7
2015,5
2016,5
2017,8
2018,7
2019,5
2020,9
2021,5
2022,7
2023,9
2024,8
2025,4
2026,4
2027,9
2028,0
2029,0
2030,3
2031,0
2032,8
2033,4
2034,5
2035,8
2036,0
2037,9
2038,9
2039,9
2040,8
2041,6
2042,2
2043,5
2044,4
2045,0
2046,5
2047,8
2048,1
2049,9
2050,2
2051,5
2052,8
2053,3
2054,3
2055,4
2056,2
2057,5
2058,3
2059,7
2060,7
2061,7
2062,4
2063,5
2064,2
2065,2
2066,8
2067,0
2068,9
2069,8
2070,9
2071,0
2072,2
2073,9
2074,0
2075,2
2076,2
2077,0
2078,8
2079,3
2080,0
2081,9
2082,4
2083,3
2084,5
2085,3
2086,7
2087,4
2088,7
2089,3
2090,5
2091,0
2092,0
2093,7
2094,2
2095,2
2096,5
2097,7
2098,6
2099,9
2100,0
2101,4
2102,1
2103,8
2104,9
2105,7
2106,7
2107,8
2108,6
2109,7
2110,3
2111,7
2112,8
2113,4
2114,2
2115,9
2116,8
2117,2
2118,3
2119,1
2120,3
2121,9
2122,5
2123,8
2124,2
2125,2
2126,0
2127,2
2128,0
2129,4
2130,8
2131,9
2132,2
2133,4
2134,7
2135,7
2136,9
2137,4
2138,4
2139,8
2140,0
2141,9
2142,0
2143,8
2144,3
2145,7
2146,7
2147,8
2148,0
2149,8
2150,7
2151,2
2152,4
2153,4
2154,0
2155,4
2156,4
2157,5
2158,7
2159,7
2160,7
2161,2
2162,0
2163,5
2164,7
2165,3
2166,9
2167,7
2168,0
2169,4
2170,5
2171,5
2172,3
2173,0
2174,5
2175,7
2176,7
2177,5
2178,4
2179,4
2180,2
2181,1
2182,9
